Title	URL	Assignees	Status	Task Type	Sprint	Nature	Epic	Labels	Linked pull requests
Global view model for user	https://github.com/SkySync-EPFL/skysync/issues/263	Plouc314	Sprint Tasks		7	Sprint Task			
Display error message	https://github.com/SkySync-EPFL/skysync/issues/224	mathieumognol	Sprint Tasks		7	Sprint Task			
Cancel function calendar viewmodel	https://github.com/SkySync-EPFL/skysync/issues/282	Prolas	Sprint Tasks		7	Sprint Task			
View model flight history	https://github.com/SkySync-EPFL/skysync/issues/267	RAFInery	Sprint Tasks						
Shared view model for flight	https://github.com/SkySync-EPFL/skysync/issues/264	RAFInery	Sprint Tasks						
connect new filtered DB functions to FlightsViewModel	https://github.com/SkySync-EPFL/skysync/issues/243	RAFInery	Sprint Tasks		7				
Confirmation pop up finish flight	https://github.com/SkySync-EPFL/skysync/issues/265	Prolas	Sprint Tasks		7	Sprint task			
Flight report viewModel	https://github.com/SkySync-EPFL/skysync/issues/266	Baribal02	Sprint Tasks		7	Sprint Task			
Flight report form UI	https://github.com/SkySync-EPFL/skysync/issues/277	Baribal02	Sprint Tasks		7	Sprint Task			
Flight Report models	https://github.com/SkySync-EPFL/skysync/issues/276	Baribal02	Sprint Tasks		7	Sprint Task			
implement push notificatoin	https://github.com/SkySync-EPFL/skysync/issues/281	hacknstack	Sprint Tasks		7	Sprint Task			
User details UI	https://github.com/SkySync-EPFL/skysync/issues/268	mathieumognol	Sprint Tasks		7	Sprint Task			
Update firestore rules	https://github.com/SkySync-EPFL/skysync/issues/223	Prolas	Sprint Tasks		7	Sprint task			
End-to-end test: as staff I want to get more detailed information about a flight displayed in the overview when I click on it so that I can get more details for a specific flight	https://github.com/SkySync-EPFL/skysync/issues/183	Prolas	Sprint Tasks		6	Sprint Task			
Explore user role distinction	https://github.com/SkySync-EPFL/skysync/issues/270	Zep3k	Sprint Tasks		7	Sprint Task			
Explore link to google maps	https://github.com/SkySync-EPFL/skysync/issues/271	Zep3k	Sprint Tasks		7	Sprint Task			
Show trace of flight	https://github.com/SkySync-EPFL/skysync/issues/273	Plouc314	Sprint Tasks		7	Sprint Task			
Offline mode	https://github.com/SkySync-EPFL/skysync/issues/272	hacknstack	Sprint Tasks		7	Sprint Task			
bugfix: assign vehicles persistently	https://github.com/SkySync-EPFL/skysync/issues/279	RAFInery	Sprint Tasks		7	Bugfix	Flight Planing		
Start working on PRD	https://github.com/SkySync-EPFL/skysync/issues/280	mathieumognol	Sprint Tasks		7	Sprint Task			
synch confirm flights with DB	https://github.com/SkySync-EPFL/skysync/issues/285	Prolas	Sprint Tasks		7		Planned Flight		
